Row,OverallOrder,ChildIntOrder,Child,aclew_id,old_media_name,Status,Include,Sample,CodeName,Notes,start.hhmmss,newoffset,Media
1,160,16,M-F03-C01,7326,M-F03-C01_112020_010302_000500,1-XunPt1,1,random_5mindur_summer2017,random-1,NA,112020,102455,M-F03-C01_102455_010302_000500
2,241,25,M-F03-C01,7326,M-F03-C01_113020_011302_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-1,NA,113020,103455,M-F03-C01_103455_011302_000100
3,242,26,M-F03-C01,7326,M-F03-C01_120323_014605_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-2,NA,120323,110758,M-F03-C01_110758_014605_000100
4,252,36,M-F03-C01,7326,M-F03-C01_120612_014854_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-3,substitute for M-F03-C01_152340_050622.mp4,120612,111047,M-F03-C01_111047_014854_000100
5,71,8,M-F03-C01,7326,M-F03-C01_121236_015518_000500,0-Pass1,1,random_5mindur_summer2017,random-2,NA,121236,111711,M-F03-C01_111711_015518_000500
6,253,37,M-F03-C01,7326,M-F03-C01_124159_022441_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-1,substitute for M-F03-C01_130036_024318.mp4,124159,114634,M-F03-C01_114634_022441_000100
7,243,27,M-F03-C01,7326,M-F03-C01_124700_022942_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-2,NA,124700,115135,M-F03-C01_115135_022942_000100
8,58,6,M-F03-C01,7326,M-F03-C01_130016_024258_000500,0-Pass1,1,random_5mindur_summer2017,random-3,NA,130016,120451,M-F03-C01_120451_024258_000500
9,3,1,M-F03-C01,7326,M-F03-C01_134153_032435_000500,No speech,1,random_5mindur_summer2017,random-4,NA,134153,124628,M-F03-C01_124628_032435_000500
10,245,29,M-F03-C01,7326,M-F03-C01_141333_035615_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-4,NA,141333,131808,M-F03-C01_131808_035615_000100
11,129,13,M-F03-C01,7326,M-F03-C01_142436_040718_000500,0-Pass1,1,random_5mindur_summer2017,random-5,NA,142436,132911,M-F03-C01_132911_040718_000500
12,16,2,M-F03-C01,7326,M-F03-C01_152310_050552_000500,1-XunPt1,1,random_5mindur_summer2017,random-6,NA,152310,142745,M-F03-C01_142745_050552_000500
13,47,5,M-F03-C01,7326,M-F03-C01_164234_062516_000500,0-Pass1,1,random_5mindur_summer2017,random-7,NA,164234,154709,M-F03-C01_154709_062516_000500
14,247,31,M-F03-C01,7326,M-F03-C01_174513_072755_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-3,NA,174513,164948,M-F03-C01_164948_072755_000100
15,36,4,M-F03-C01,7326,M-F03-C01_174717_072959_000500,0-Pass1,1,random_5mindur_summer2017,random-8,NA,174717,165152,M-F03-C01_165152_072959_000500
16,222,23,M-F03-C01,7326,M-F03-C01_175335_073617_000500,0-Pass1,1,random_5mindur_summer2017,random-9,NA,175335,165810,M-F03-C01_165810_073617_000500
17,248,32,M-F03-C01,7326,M-F03-C01_175926_074208_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-4,NA,175926,170401,M-F03-C01_170401_074208_000100
18,249,33,M-F03-C01,7326,M-F03-C01_180026_074308_000100,0-Pass1,0,highVAD_1mindur_summer2017,va-5,dropped because included in extension: M-F03-C01_180035_074317.mp4,180026,170501,M-F03-C01_170501_074308_000100
19,251,35,M-F03-C01,7326,M-F03-C01_180035_074317_000600,0-Pass1,1,highVAD_6mindur_summer2017,extension_va-5,(inclusive) extension of M-F03-C01_180026_074308.mp4,180035,170510,M-F03-C01_170510_074317_000600
20,250,34,M-F03-C01,7326,M-F03-C01_181139_075421_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-5,NA,181139,171614,M-F03-C01_171614_075421_000100
21,57,6,M-F05-C01,7176,M-F05-C01_090323_002821_000500,0-Pass1,1,random_5mindur_summer2017,random-1,NA,090323,085228,M-F05-C01_085228_002821_000500
22,35,4,M-F05-C01,7176,M-F05-C01_103428_015926_000500,No speech,1,random_5mindur_summer2017,random-2,NA,103428,102333,M-F05-C01_102333_015926_000500
23,19,2,M-F05-C01,7176,M-F05-C01_104253_020751_000500,No speech,1,random_5mindur_summer2017,random-3,NA,104253,103158,M-F05-C01_103158_020751_000500
24,85,9,M-F05-C01,7176,M-F05-C01_112100_024558_000500,0-Pass1,1,random_5mindur_summer2017,random-4,NA,112100,111005,M-F05-C01_111005_024558_000500
25,254,25,M-F05-C01,7176,M-F05-C01_124845_041343_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-1,NA,124845,123750,M-F05-C01_123750_041343_000100
26,255,26,M-F05-C01,7176,M-F05-C01_125220_041718_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-2,NA,125220,124125,M-F05-C01_124125_041718_000100
27,27,3,M-F05-C01,7176,M-F05-C01_125320_041818_000500,0-Pass1,1,random_5mindur_summer2017,random-5,NA,125320,124225,M-F05-C01_124225_041818_000500
28,256,27,M-F05-C01,7176,M-F05-C01_125820_042318_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-3,NA,125820,124725,M-F05-C01_124725_042318_000100
29,50,5,M-F05-C01,7176,M-F05-C01_131341_043839_000500,No speech,1,random_5mindur_summer2017,random-6,NA,131341,130246,M-F05-C01_130246_043839_000500
30,257,28,M-F05-C01,7176,M-F05-C01_135528_052026_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-1,NA,135528,134433,M-F05-C01_134433_052026_000100
31,258,29,M-F05-C01,7176,M-F05-C01_135957_052455_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-2,NA,135957,134902,M-F05-C01_134902_052455_000100
32,259,30,M-F05-C01,7176,M-F05-C01_144338_060836_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-4,NA,144338,143243,M-F05-C01_143243_060836_000100
33,260,31,M-F05-C01,7176,M-F05-C01_150507_063005_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-3,NA,150507,145412,M-F05-C01_145412_063005_000100
34,264,35,M-F05-C01,7176,M-F05-C01_150622_063120_000600,0-Pass1,1,highTTG_6mindur_summer2017,extension_tt-4,(inclusive) extension of M-F05-C01_150739_063237.mp4,150622,145527,M-F05-C01_145527_063120_000600
35,261,32,M-F05-C01,7176,M-F05-C01_150739_063237_000100,0-Pass1,0,highTTG_1mindur_summer2017,tt-4,dropped because included in extension: M-F05-C01_150622_063120.mp4,150739,145644,M-F05-C01_145644_063237_000100
36,262,33,M-F05-C01,7176,M-F05-C01_151222_063720_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-5,NA,151222,150127,M-F05-C01_150127_063720_000100
37,4,1,M-F05-C01,7176,M-F05-C01_164758_081256_000500,1-XunPt1,1,random_5mindur_summer2017,random-7,NA,164758,163703,M-F05-C01_163703_081256_000500
38,216,22,M-F05-C01,7176,M-F05-C01_165727_082225_000500,0-Pass1,1,random_5mindur_summer2017,random-8,NA,165727,164632,M-F05-C01_164632_082225_000500
39,263,34,M-F05-C01,7176,M-F05-C01_170421_082919_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-5,NA,170421,165326,M-F05-C01_165326_082919_000100
40,169,17,M-F05-C01,7176,M-F05-C01_172550_085048_000500,0-Pass1,1,random_5mindur_summer2017,random-9,NA,172550,171455,M-F05-C01_171455_085048_000500
41,37,4,M-F08-C01,8179,M-F08-C01_090819_002514_000500,0-Pass1,1,random_5mindur_summer2017,random-1,NA,090819,085007,M-F08-C01_085007_002514_000500
42,29,3,M-F08-C01,8179,M-F08-C01_092141_003836_000500,1-XunPt1,1,random_5mindur_summer2017,random-2,NA,092141,090329,M-F08-C01_090329_003836_000500
43,43,5,M-F08-C01,8179,M-F08-C01_102941_014636_000500,0-Pass1,1,random_5mindur_summer2017,random-3,NA,102941,101129,M-F08-C01_101129_014636_000500
44,265,25,M-F08-C01,8179,M-F08-C01_111203_022858_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-1,NA,111203,105351,M-F08-C01_105351_022858_000100
45,266,26,M-F08-C01,8179,M-F08-C01_113422_025117_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-1,NA,113422,111610,M-F08-C01_111610_025117_000100
46,267,27,M-F08-C01,8179,M-F08-C01_113522_025217_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-2,NA,113522,111710,M-F08-C01_111710_025217_000100
47,103,11,M-F08-C01,8179,M-F08-C01_123331_035026_000500,0-Pass1,1,random_5mindur_summer2017,random-4,NA,123331,121519,M-F08-C01_121519_035026_000500
48,88,9,M-F08-C01,8179,M-F08-C01_131355_043050_000500,0-Pass1,1,random_5mindur_summer2017,random-5,NA,131355,125543,M-F08-C01_125543_043050_000500
49,268,28,M-F08-C01,8179,M-F08-C01_141828_053523_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-3,NA,141828,140016,M-F08-C01_140016_053523_000100
50,72,8,M-F08-C01,8179,M-F08-C01_143246_054941_000500,0-Pass1,1,random_5mindur_summer2017,random-6,NA,143246,141434,M-F08-C01_141434_054941_000500
51,275,35,M-F08-C01,8179,M-F08-C01_160745_072440_000600,0-Pass1,1,highTTG_6mindur_summer2017,extension_tt-2,(inclusive) extension of M-F08-C01_161245_072940.mp4,160745,154933,M-F08-C01_154933_072440_000600
52,269,29,M-F08-C01,8179,M-F08-C01_161245_072940_000100,0-Pass1,0,highTTG_1mindur_summer2017,tt-2,dropped because included in extension: M-F08-C01_160745_072440.mp4,161245,155433,M-F08-C01_155433_072940_000100
53,270,30,M-F08-C01,8179,M-F08-C01_161401_073056_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-3,NA,161401,155549,M-F08-C01_155549_073056_000100
54,271,31,M-F08-C01,8179,M-F08-C01_161543_073238_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-4,NA,161543,155731,M-F08-C01_155731_073238_000100
55,272,32,M-F08-C01,8179,M-F08-C01_161855_073550_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-5,NA,161855,160043,M-F08-C01_160043_073550_000100
56,10,1,M-F08-C01,8179,M-F08-C01_164534_080229_000500,1-XunPt1,1,random_5mindur_summer2017,random-7,NA,164534,162722,M-F08-C01_162722_080229_000500
57,17,2,M-F08-C01,8179,M-F08-C01_170306_082001_000500,1-XunPt1,1,random_5mindur_summer2017,random-8,NA,170306,164454,M-F08-C01_164454_082001_000500
58,59,6,M-F08-C01,8179,M-F08-C01_172346_084041_000500,0-Pass1,1,random_5mindur_summer2017,random-9,NA,172346,170534,M-F08-C01_170534_084041_000500
59,273,33,M-F08-C01,8179,M-F08-C01_175111_090806_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-4,NA,175111,173259,M-F08-C01_173259_090806_000100
60,274,34,M-F08-C01,8179,M-F08-C01_184115_095810_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-5,NA,184115,182303,M-F08-C01_182303_095810_000100
61,38,4,M-F13-C01,7220,M-F13-C01_091829_003334_000500,1-XunPt1,1,random_5mindur_summer2017,random-1,NA,091829,090527,M-F13-C01_090527_003334_000500
62,42,5,M-F13-C01,7220,M-F13-C01_092501_004006_000500,0-Pass1,1,random_5mindur_summer2017,random-2,NA,092501,091159,M-F13-C01_091159_004006_000500
63,286,35,M-F13-C01,7220,M-F13-C01_095921_011426_000600,0-Pass1,1,highTTG_6mindur_summer2017,extension_tt-1,(inclusive) extension of M-F13-C01_100421_011926.mp4,095921,094619,M-F13-C01_094619_011426_000600
64,276,25,M-F13-C01,7220,M-F13-C01_100421_011926_000100,0-Pass1,0,highTTG_1mindur_summer2017,tt-1,dropped because included in extension: M-F13-C01_095921_011426.mp4,100421,095119,M-F13-C01_095119_011926_000100
65,277,26,M-F13-C01,7220,M-F13-C01_100834_012339_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-2,NA,100834,095532,M-F13-C01_095532_012339_000100
66,278,27,M-F13-C01,7220,M-F13-C01_100949_012454_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-3,NA,100949,095647,M-F13-C01_095647_012454_000100
67,279,28,M-F13-C01,7220,M-F13-C01_101136_012641_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-1,NA,101136,095834,M-F13-C01_095834_012641_000100
68,280,29,M-F13-C01,7220,M-F13-C01_101509_013014_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-4,NA,101509,100207,M-F13-C01_100207_013014_000100
69,7,1,M-F13-C01,7220,M-F13-C01_102649_014154_000500,1-XunPt1,1,random_5mindur_summer2017,random-3,NA,102649,101347,M-F13-C01_101347_014154_000500
70,281,30,M-F13-C01,7220,M-F13-C01_103202_014707_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-5,NA,103202,101900,M-F13-C01_101900_014707_000100
71,282,31,M-F13-C01,7220,M-F13-C01_105350_020855_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-2,NA,105350,104048,M-F13-C01_104048_020855_000100
72,283,32,M-F13-C01,7220,M-F13-C01_112911_024416_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-3,NA,112911,111609,M-F13-C01_111609_024416_000100
73,119,12,M-F13-C01,7220,M-F13-C01_113325_024830_000500,0-Pass1,1,random_5mindur_summer2017,random-4,NA,113325,112023,M-F13-C01_112023_024830_000500
74,284,33,M-F13-C01,7220,M-F13-C01_125833_041338_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-4,NA,125833,124531,M-F13-C01_124531_041338_000100
75,77,8,M-F13-C01,7220,M-F13-C01_130209_041714_000500,0-Pass1,1,random_5mindur_summer2017,random-5,NA,130209,124907,M-F13-C01_124907_041714_000500
76,107,11,M-F13-C01,7220,M-F13-C01_132307_043812_000500,0-Pass1,1,random_5mindur_summer2017,random-6,NA,132307,131005,M-F13-C01_131005_043812_000500
77,26,3,M-F13-C01,7220,M-F13-C01_135414_050919_000500,0-Pass1,1,random_5mindur_summer2017,random-7,NA,135414,134112,M-F13-C01_134112_050919_000500
78,18,2,M-F13-C01,7220,M-F13-C01_145950_061455_000500,1-XunPt1,1,random_5mindur_summer2017,random-8,NA,145950,144648,M-F13-C01_144648_061455_000500
79,285,34,M-F13-C01,7220,M-F13-C01_171244_082749_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-5,NA,171244,165942,M-F13-C01_165942_082749_000100
80,82,9,M-F13-C01,7220,M-F13-C01_171444_082949_000500,0-Pass1,1,random_5mindur_summer2017,random-9,NA,171444,170142,M-F13-C01_170142_082949_000500
81,49,5,M-F17-C01,2109,M-F17-C01_095028_005621_000500,0-Pass1,1,random_5mindur_summer2017,random-1,NA,095028,094017,M-F17-C01_094017_005621_000500
82,32,4,M-F17-C01,2109,M-F17-C01_095919_010512_000500,0-Pass1,1,random_5mindur_summer2017,random-2,NA,095919,094908,M-F17-C01_094908_010512_000500
83,287,25,M-F17-C01,2109,M-F17-C01_100609_011202_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-1,NA,100609,095558,M-F17-C01_095558_011202_000100
84,64,7,M-F17-C01,2109,M-F17-C01_103341_013934_000500,No speech,1,random_5mindur_summer2017,random-3,NA,103341,102330,M-F17-C01_102330_013934_000500
85,52,6,M-F17-C01,2109,M-F17-C01_115654_030247_000500,No speech,1,random_5mindur_summer2017,random-4,NA,115654,114643,M-F17-C01_114643_030247_000500
86,106,11,M-F17-C01,2109,M-F17-C01_125026_035619_000500,0-Pass1,1,random_5mindur_summer2017,random-5,NA,125026,124015,M-F17-C01_124015_035619_000500
87,288,26,M-F17-C01,2109,M-F17-C01_125843_040436_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-2,NA,125843,124832,M-F17-C01_124832_040436_000100
88,289,27,M-F17-C01,2109,M-F17-C01_131200_041753_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-1,NA,131200,130149,M-F17-C01_130149_041753_000100
89,297,35,M-F17-C01,2109,M-F17-C01_131313_041906_000600,0-Pass1,1,highTTG_6mindur_summer2017,extension_tt-3,(inclusive) extension of M-F17-C01_131800_042353.mp4,131313,130302,M-F17-C01_130302_041906_000600
90,290,28,M-F17-C01,2109,M-F17-C01_131800_042353_000100,0-Pass1,0,highTTG_1mindur_summer2017,tt-3,dropped because included in extension: M-F17-C01_131313_041906.mp4,131800,130749,M-F17-C01_130749_042353_000100
91,30,3,M-F17-C01,2109,M-F17-C01_135532_050125_000500,1-XunPt1,1,random_5mindur_summer2017,random-6,NA,135532,134521,M-F17-C01_134521_050125_000500
92,291,29,M-F17-C01,2109,M-F17-C01_143018_053611_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-2,NA,143018,142007,M-F17-C01_142007_053611_000100
93,155,16,M-F17-C01,2109,M-F17-C01_151202_061755_000500,0-Pass1,1,random_5mindur_summer2017,random-7,NA,151202,150151,M-F17-C01_150151_061755_000500
94,292,30,M-F17-C01,2109,M-F17-C01_151702_062255_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-3,NA,151702,150651,M-F17-C01_150651_062255_000100
95,293,31,M-F17-C01,2109,M-F17-C01_153945_064538_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-4,NA,153945,152934,M-F17-C01_152934_064538_000100
96,294,32,M-F17-C01,2109,M-F17-C01_154329_064922_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-4,NA,154329,153318,M-F17-C01_153318_064922_000100
97,295,33,M-F17-C01,2109,M-F17-C01_155407_070000_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-5,NA,155407,154356,M-F17-C01_154356_070000_000100
98,11,2,M-F17-C01,2109,M-F17-C01_165923_080516_000500,1-XunPt1,1,random_5mindur_summer2017,random-8,NA,165923,164912,M-F17-C01_164912_080516_000500
99,296,34,M-F17-C01,2109,M-F17-C01_172605_083158_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-5,NA,172605,171554,M-F17-C01_171554_083158_000100
