aclew_child_id,segment,segment_dur,xds_min,sample,sample_type,xds_mph,ods_min,ods_mph,tds_min,tds_mph,cds_min,cds_mph,homebank_child_id,other_child_id,age_mo_round,age,age_childes,child_sex,mat_ed_yr,mat_ed,fat_ed,length_of_recording,start_of_recording,number_older_sibs,mother_age,father_age,household_size,premature,region,serious_medical_issues,ses_details,Comments,tchiyr.m,motyr.m,nsb.m,hsz.m,tchiyr.sd,motyr.sd,nsb.sd,hsz.sd,rec.start.hr,rec.stop.hr,order,n_spkrs_clip,start.hr,prop_tds,xds_mph.nz,ods_mph.nz,tds_mph.nz,cds_mph.nz,tchiyr.std,chisx.std,mated.std,mated.bin,motyr.std,nsb.std,hsz.std,nsk.std,stthr.std,stthr.tri,stthr.tri.a,stthr.tri.o,Sample,stthr.tri.centered,SplitAge
0643,extension_tt-1,5,1.588,turn-taking,extension,19.056,0.327,3.924,1.261,15.131999999999998,1.395,16.740000000000002,CM50,M-F40-C01,2,01m;25d,0;01.25,M,0,none,secondary,41391,07:57:38,5,25.9,33.8,7,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,7.960555555555556,19.458055555555557,1,2,11.051,0.794080604534005,1,1,1,1,-1.145798822511396,M,none,0-5,0.4962995298410653,2.559250039669871,0,-0.36453749261974544,-0.07908333333333332,midday,midday,midday,Turn taking,midday,Under 1;0
0643,tt-1,1,0.269,turn-taking,turn-taking,16.14,0,0,0.269,16.14,0.269,16.14,CM50,M-F40-C01,2,01m;25d,0;01.25,M,0,none,secondary,41391,07:57:38,5,25.9,33.8,7,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,7.960555555555556,19.458055555555557,1,1,11.051,1,1,0,1,1,-1.145798822511396,M,none,0-5,0.4962995298410653,2.559250039669871,0,-1.0162863430611087,-0.07908333333333332,midday,midday,midday,Turn taking,midday,Under 1;0
0643,tt-2,1,0.51,turn-taking,turn-taking,30.6,0.464,27.84,0.046,2.76,0.282,16.919999999999998,CM50,M-F40-C01,2,01m;25d,0;01.25,M,0,none,secondary,41391,07:57:38,5,25.9,33.8,7,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,7.960555555555556,19.458055555555557,1,3,12.93,0.09019607843137255,1,1,1,1,-1.145798822511396,M,none,0-5,0.4962995298410653,2.559250039669871,0,0.28721135782161783,0.07749999999999997,midday,midday,midday,Turn taking,midday,Under 1;0
0643,tt-3,1,0.647,turn-taking,turn-taking,38.82,0.647,38.82,0,0,0.571,34.26,CM50,M-F40-C01,2,01m;25d,0;01.25,M,0,none,secondary,41391,07:57:38,5,25.9,33.8,7,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,7.960555555555556,19.458055555555557,1,4,14.491,0,1,1,0,1,-1.145798822511396,M,none,0-5,0.4962995298410653,2.559250039669871,0,0.9389602082629811,0.20758333333333331,afternoon,afternoon,afternoon,Turn taking,afternoon,Under 1;0
0643,tt-4,1,0.786,turn-taking,turn-taking,47.160000000000004,0.544,32.64,0.242,14.52,0.629,37.74,CM50,M-F40-C01,2,01m;25d,0;01.25,M,0,none,secondary,41391,07:57:38,5,25.9,33.8,7,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,7.960555555555556,19.458055555555557,1,6,15.424,0.30788804071246817,1,1,1,1,-1.145798822511396,M,none,0-5,0.4962995298410653,2.559250039669871,0,2.2424579091457075,0.28533333333333327,afternoon,afternoon,afternoon,Turn taking,afternoon,Under 1;0
0643,tt-5,1,0.525,turn-taking,turn-taking,31.5,0.518,31.080000000000002,0.007,0.42,0.129,7.74,CM50,M-F40-C01,2,01m;25d,0;01.25,M,0,none,secondary,41391,07:57:38,5,25.9,33.8,7,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,7.960555555555556,19.458055555555557,1,4,16.277,0.013333333333333332,1,1,1,1,-1.145798822511396,M,none,0-5,0.4962995298410653,2.559250039669871,0,0.9389602082629811,0.35641666666666677,afternoon,afternoon,afternoon,Turn taking,afternoon,Under 1;0
2109,extension_tt-3,5,0.182,turn-taking,extension,2.184,0,0,0.182,2.184,0.182,2.184,CM23,M-F17-C01,7,07m;15d,0;07.15,F,5,primary,secondary,36139,08:43:56,0,24.2,18.7,8,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,8.732222222222223,18.770833333333336,4,1,13.051,1,1,0,1,1,-0.7394871833229577,F,primary,0-5,0.12462146784555393,-0.7218397547786817,0.32732683535398854,-1.0162863430611087,0.08758333333333335,afternoon,afternoon,afternoon,Turn taking,afternoon,Under 1;0
2109,tt-1,1,0.627,turn-taking,turn-taking,37.62,0,0,0.627,37.62,0.627,37.62,CM23,M-F17-C01,7,07m;15d,0;07.15,F,5,primary,secondary,36139,08:43:56,0,24.2,18.7,8,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,8.732222222222223,18.770833333333336,4,1,9.933,1,1,0,1,1,-0.7394871833229577,F,primary,0-5,0.12462146784555393,-0.7218397547786817,0.32732683535398854,-1.0162863430611087,-0.17225000000000001,morning,morning,morning,Turn taking,morning,Under 1;0
2109,tt-2,1,0.322,turn-taking,turn-taking,19.32,0.123,7.38,0.199,11.940000000000001,0.199,11.940000000000001,CM23,M-F17-C01,7,07m;15d,0;07.15,F,5,primary,secondary,36139,08:43:56,0,24.2,18.7,8,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,8.732222222222223,18.770833333333336,4,1,12.809,0.6180124223602484,1,1,1,1,-0.7394871833229577,F,primary,0-5,0.12462146784555393,-0.7218397547786817,0.32732683535398854,-1.0162863430611087,0.06741666666666661,midday,midday,midday,Turn taking,midday,Under 1;0
2109,tt-3,1,0.278,turn-taking,turn-taking,16.68,0.008,0.48,0.271,16.26,0.271,16.26,CM23,M-F17-C01,7,07m;15d,0;07.15,F,5,primary,secondary,36139,08:43:56,0,24.2,18.7,8,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,8.732222222222223,18.770833333333336,4,1,13.13,0.974820143884892,1,1,1,1,-0.7394871833229577,F,primary,0-5,0.12462146784555393,-0.7218397547786817,0.32732683535398854,-1.0162863430611087,0.09416666666666673,afternoon,afternoon,afternoon,Turn taking,afternoon,Under 1;0
2109,tt-4,1,0.146,turn-taking,turn-taking,8.76,0,0,0.146,8.76,0.146,8.76,CM23,M-F17-C01,7,07m;15d,0;07.15,F,5,primary,secondary,36139,08:43:56,0,24.2,18.7,8,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,8.732222222222223,18.770833333333336,4,1,15.493,1,1,0,1,1,-0.7394871833229577,F,primary,0-5,0.12462146784555393,-0.7218397547786817,0.32732683535398854,-1.0162863430611087,0.29108333333333336,afternoon,afternoon,afternoon,Turn taking,afternoon,Under 1;0
2109,tt-5,1,0.17,turn-taking,turn-taking,10.200000000000001,0.006,0.36,0.164,9.84,0.164,9.84,CM23,M-F17-C01,7,07m;15d,0;07.15,F,5,primary,secondary,36139,08:43:56,0,24.2,18.7,8,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,8.732222222222223,18.770833333333336,4,1,15.732,0.9647058823529412,1,1,1,1,-0.7394871833229577,F,primary,0-5,0.12462146784555393,-0.7218397547786817,0.32732683535398854,-1.0162863430611087,0.31099999999999994,afternoon,afternoon,afternoon,Turn taking,afternoon,Under 1;0
2625,extension_tt-2,5,1.887,turn-taking,extension,22.644000000000002,1.456,17.472,0.432,5.184,1.323,15.876,CM47,M-F37-C02,32,32m;05d,2;08.05,F,8,secondary,secondary,36645,08:22:41,1,27.9,25.4,4,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,8.378055555555555,18.557222222222222,9,4,10.806,0.22893481717011127,1,1,1,1,1.2920710126192334,F,secondary,6+,0.9335678380710789,-0.06562179588897112,-0.9819805060619656,0.9389602082629811,-0.09950000000000007,morning,morning,morning,Turn taking,morning,1;0+
2625,tt-1,1,0.623,turn-taking,turn-taking,37.38,0.258,15.48,0.365,21.9,0.381,22.86,CM47,M-F37-C02,32,32m;05d,2;08.05,F,8,secondary,secondary,36645,08:22:41,1,27.9,25.4,4,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,8.378055555555555,18.557222222222222,9,3,10.789,0.5858747993579454,1,1,1,1,1.2920710126192334,F,secondary,6+,0.9335678380710789,-0.06562179588897112,-0.9819805060619656,0.28721135782161783,-0.1009166666666667,morning,morning,morning,Turn taking,morning,1;0+
2625,tt-2,1,0.482,turn-taking,turn-taking,28.919999999999998,0.062,3.7199999999999998,0.42,25.2,0.45,27,CM47,M-F37-C02,32,32m;05d,2;08.05,F,8,secondary,secondary,36645,08:22:41,1,27.9,25.4,4,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,8.378055555555555,18.557222222222222,9,2,10.806,0.8713692946058091,1,1,1,1,1.2920710126192334,F,secondary,6+,0.9335678380710789,-0.06562179588897112,-0.9819805060619656,-0.36453749261974544,-0.09950000000000007,morning,morning,morning,Turn taking,morning,1;0+
2625,tt-3,1,0.396,turn-taking,turn-taking,23.76,0.02,1.2,0.376,22.56,0.376,22.56,CM47,M-F37-C02,32,32m;05d,2;08.05,F,8,secondary,secondary,36645,08:22:41,1,27.9,25.4,4,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,8.378055555555555,18.557222222222222,9,1,11.149,0.9494949494949495,1,1,1,1,1.2920710126192334,F,secondary,6+,0.9335678380710789,-0.06562179588897112,-0.9819805060619656,-1.0162863430611087,-0.07091666666666674,midday,midday,midday,Turn taking,midday,1;0+
2625,tt-4,1,0.072,turn-taking,turn-taking,4.319999999999999,0.011,0.6599999999999999,0.061,3.66,0.061,3.66,CM47,M-F37-C02,32,32m;05d,2;08.05,F,8,secondary,secondary,36645,08:22:41,1,27.9,25.4,4,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,8.378055555555555,18.557222222222222,9,1,17.462,0.8472222222222223,1,1,1,1,1.2920710126192334,F,secondary,6+,0.9335678380710789,-0.06562179588897112,-0.9819805060619656,-1.0162863430611087,0.45516666666666666,afternoon,afternoon,afternoon,Turn taking,afternoon,1;0+
2625,tt-5,1,0.308,turn-taking,turn-taking,18.48,0.078,4.68,0.23,13.8,0.23,13.8,CM47,M-F37-C02,32,32m;05d,2;08.05,F,8,secondary,secondary,36645,08:22:41,1,27.9,25.4,4,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,8.378055555555555,18.557222222222222,9,2,17.587,0.7467532467532468,1,1,1,1,1.2920710126192334,F,secondary,6+,0.9335678380710789,-0.06562179588897112,-0.9819805060619656,-0.36453749261974544,0.4655833333333333,afternoon,afternoon,afternoon,Turn taking,afternoon,1;0+
3026,extension_tt-4,5,0.556,turn-taking,extension,6.672000000000001,0.162,1.944,0.394,4.728000000000001,0.394,4.728000000000001,CM55,M-F43-C02,36,36m;02d,3;00.02,M,5,primary,primary,42412,08:19:52,2,27.8,34.4,5,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,8.331111111111111,20.112222222222222,10,2,12.85,0.7086330935251798,1,1,1,1,1.617120323969984,M,primary,0-5,0.9117044226595786,0.5905961630007395,-0.6546536707079771,-0.36453749261974544,0.0708333333333333,midday,midday,midday,Turn taking,midday,1;0+
3026,tt-1,1,0.097,turn-taking,turn-taking,5.82,0.05,3,0.046,2.76,0.046,2.76,CM55,M-F43-C02,36,36m;02d,3;00.02,M,5,primary,primary,42412,08:19:52,2,27.8,34.4,5,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,8.331111111111111,20.112222222222222,10,2,8.793,0.4742268041237113,1,1,1,1,1.617120323969984,M,primary,0-5,0.9117044226595786,0.5905961630007395,-0.6546536707079771,-0.36453749261974544,-0.26725000000000004,morning,morning,morning,Turn taking,morning,1;0+
3026,tt-2,1,0.124,turn-taking,turn-taking,7.4399999999999995,0.042,2.52,0.082,4.92,0.082,4.92,CM55,M-F43-C02,36,36m;02d,3;00.02,M,5,primary,primary,42412,08:19:52,2,27.8,34.4,5,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,8.331111111111111,20.112222222222222,10,2,9.652,0.6612903225806452,1,1,1,1,1.617120323969984,M,primary,0-5,0.9117044226595786,0.5905961630007395,-0.6546536707079771,-0.36453749261974544,-0.19566666666666674,morning,morning,morning,Turn taking,morning,1;0+
3026,tt-3,1,0.465,turn-taking,turn-taking,27.900000000000002,0.199,11.940000000000001,0.266,15.96,0.266,15.96,CM55,M-F43-C02,36,36m;02d,3;00.02,M,5,primary,primary,42412,08:19:52,2,27.8,34.4,5,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,8.331111111111111,20.112222222222222,10,2,11.932,0.5720430107526882,1,1,1,1,1.617120323969984,M,primary,0-5,0.9117044226595786,0.5905961630007395,-0.6546536707079771,-0.36453749261974544,-0.005666666666666635,midday,midday,midday,Turn taking,midday,1;0+
3026,tt-4,1,0.085,turn-taking,turn-taking,5.1000000000000005,0.013,0.7799999999999999,0.072,4.319999999999999,0.072,4.319999999999999,CM55,M-F43-C02,36,36m;02d,3;00.02,M,5,primary,primary,42412,08:19:52,2,27.8,34.4,5,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,8.331111111111111,20.112222222222222,10,1,12.918,0.8470588235294116,1,1,1,1,1.617120323969984,M,primary,0-5,0.9117044226595786,0.5905961630007395,-0.6546536707079771,-1.0162863430611087,0.07649999999999994,midday,midday,midday,Turn taking,midday,1;0+
3026,tt-5,1,0.412,turn-taking,turn-taking,24.72,0.225,13.5,0.187,11.22,0.255,15.3,CM55,M-F43-C02,36,36m;02d,3;00.02,M,5,primary,primary,42412,08:19:52,2,27.8,34.4,5,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,8.331111111111111,20.112222222222222,10,3,15.527,0.4538834951456311,1,1,1,1,1.617120323969984,M,primary,0-5,0.9117044226595786,0.5905961630007395,-0.6546536707079771,0.28721135782161783,0.2939166666666666,afternoon,afternoon,afternoon,Turn taking,afternoon,1;0+
6216,extension_tt-3,5,2.276,turn-taking,extension,27.311999999999998,1.333,15.996,0.943,11.315999999999999,0.943,11.315999999999999,CM25,M-F19-C01,27,26m;25d,2;02.25,F,5,primary,primary,32539,09:29:48,0,17.1,19.3,4,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,9.496666666666666,18.53527777777778,8,2,11.103,0.41432337434094907,1,1,1,1,0.8857593734307952,F,primary,0-5,-1.4276810263709938,-0.7218397547786817,-0.9819805060619656,-0.36453749261974544,-0.07475000000000002,midday,midday,midday,Turn taking,midday,1;0+
6216,tt-1,1,0.448,turn-taking,turn-taking,26.88,0.013,0.7799999999999999,0.435,26.1,0.435,26.1,CM25,M-F19-C01,27,26m;25d,2;02.25,F,5,primary,primary,32539,09:29:48,0,17.1,19.3,4,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,9.496666666666666,18.53527777777778,8,1,9.571,0.9709821428571428,1,1,1,1,0.8857593734307952,F,primary,0-5,-1.4276810263709938,-0.7218397547786817,-0.9819805060619656,-1.0162863430611087,-0.2024166666666667,morning,morning,morning,Turn taking,morning,1;0+
6216,tt-2,1,0.428,turn-taking,turn-taking,25.68,0.021,1.26,0.407,24.419999999999998,0.407,24.419999999999998,CM25,M-F19-C01,27,26m;25d,2;02.25,F,5,primary,primary,32539,09:29:48,0,17.1,19.3,4,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,9.496666666666666,18.53527777777778,8,1,10.571,0.9509345794392523,1,1,1,1,0.8857593734307952,F,primary,0-5,-1.4276810263709938,-0.7218397547786817,-0.9819805060619656,-1.0162863430611087,-0.11908333333333336,morning,morning,morning,Turn taking,morning,1;0+
6216,tt-3,1,0.748,turn-taking,turn-taking,44.88,0.368,22.08,0.38,22.8,0.38,22.8,CM25,M-F19-C01,27,26m;25d,2;02.25,F,5,primary,primary,32539,09:29:48,0,17.1,19.3,4,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,9.496666666666666,18.53527777777778,8,2,11.103,0.5080213903743316,1,1,1,1,0.8857593734307952,F,primary,0-5,-1.4276810263709938,-0.7218397547786817,-0.9819805060619656,-0.36453749261974544,-0.07475000000000002,midday,midday,midday,Turn taking,midday,1;0+
6216,tt-4,1,0.53,turn-taking,turn-taking,31.8,0.018,1.0799999999999998,0.512,30.72,0.512,30.72,CM25,M-F19-C01,27,26m;25d,2;02.25,F,5,primary,primary,32539,09:29:48,0,17.1,19.3,4,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,9.496666666666666,18.53527777777778,8,2,14.271,0.9660377358490566,1,1,1,1,0.8857593734307952,F,primary,0-5,-1.4276810263709938,-0.7218397547786817,-0.9819805060619656,-0.36453749261974544,0.18925000000000006,afternoon,afternoon,afternoon,Turn taking,afternoon,1;0+
6216,tt-5,1,0.116,turn-taking,turn-taking,6.96,0.02,1.2,0.096,5.76,0.096,5.76,CM25,M-F19-C01,27,26m;25d,2;02.25,F,5,primary,primary,32539,09:29:48,0,17.1,19.3,4,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,9.496666666666666,18.53527777777778,8,1,16.256,0.8275862068965517,1,1,1,1,0.8857593734307952,F,primary,0-5,-1.4276810263709938,-0.7218397547786817,-0.9819805060619656,-1.0162863430611087,0.3546666666666667,afternoon,afternoon,afternoon,Turn taking,afternoon,1;0+
7176,extension_tt-4,5,1.593,turn-taking,extension,19.116,1.446,17.352,0.148,1.7759999999999998,0.538,6.456,CM07,M-F05-C01,4,03m;18d,0;03.18,M,12,preparatory,preparatory,34852,08:24:07,1,21.6,25.5,8,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,8.401944444444444,18.083055555555553,2,5,14.924,0.09290646578782172,1,1,1,1,-0.9832741668360206,M,preparatory,6+,-0.44382733285346326,-0.06562179588897112,0.32732683535398854,1.5907090587043444,0.24366666666666661,afternoon,afternoon,afternoon,Turn taking,afternoon,Under 1;0
7176,tt-1,1,0.22,turn-taking,turn-taking,13.2,0,0,0.22,13.2,0.22,13.2,CM07,M-F05-C01,4,03m;18d,0;03.18,M,12,preparatory,preparatory,34852,08:24:07,1,21.6,25.5,8,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,8.401944444444444,18.083055555555553,2,1,13.742,1,1,0,1,1,-0.9832741668360206,M,preparatory,6+,-0.44382733285346326,-0.06562179588897112,0.32732683535398854,-1.0162863430611087,0.14516666666666675,afternoon,afternoon,afternoon,Turn taking,afternoon,Under 1;0
7176,tt-2,1,0.671,turn-taking,turn-taking,40.260000000000005,0.287,17.22,0.383,22.98,0.383,22.98,CM07,M-F05-C01,4,03m;18d,0;03.18,M,12,preparatory,preparatory,34852,08:24:07,1,21.6,25.5,8,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,8.401944444444444,18.083055555555553,2,2,13.817,0.5707898658718331,1,1,1,1,-0.9832741668360206,M,preparatory,6+,-0.44382733285346326,-0.06562179588897112,0.32732683535398854,-0.36453749261974544,0.15141666666666667,afternoon,afternoon,afternoon,Turn taking,afternoon,Under 1;0
7176,tt-3,1,0.173,turn-taking,turn-taking,10.379999999999999,0,0,0.173,10.379999999999999,0.173,10.379999999999999,CM07,M-F05-C01,4,03m;18d,0;03.18,M,12,preparatory,preparatory,34852,08:24:07,1,21.6,25.5,8,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,8.401944444444444,18.083055555555553,2,1,14.903,1,1,0,1,1,-0.9832741668360206,M,preparatory,6+,-0.44382733285346326,-0.06562179588897112,0.32732683535398854,-1.0162863430611087,0.2419166666666667,afternoon,afternoon,afternoon,Turn taking,afternoon,Under 1;0
7176,tt-4,1,0.3,turn-taking,turn-taking,18,0.106,6.359999999999999,0.194,11.64,0.242,14.52,CM07,M-F05-C01,4,03m;18d,0;03.18,M,12,preparatory,preparatory,34852,08:24:07,1,21.6,25.5,8,unknown,Southern Mexico,no,agriculturalist,NA,16.1,23.63,1.1,7,12.305825178887165,4.573850796769731,1.523883926754995,3.0550504633038935,8.401944444444444,18.083055555555553,2,3,14.946,0.6466666666666667,1,1,1,1,-0.9832741668360206,M,preparatory,6+,-0.44382733285346326,-0.06562179588897112,0.32732683535398854,0.28721135782161783,0.24549999999999997,afternoon,afternoon,afternoon,Turn taking,afternoon,Under 1;0
